응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,E2-1_연계지원충분,E2-2_절차가이드도움,E2-3_어려운점,E2-4_내년강화지원,E2-5_바라는점
14,2026-04-19 15:31:00,하청교회 행복늘푸른대학,5,4,하청교회 행복늘푸른대학,2,1,5,2,3,1,5,2,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
15,2026-11-05 17:46:00,하청교회 행복늘푸른대학,3,2,하청교회 행복늘푸른대학,2,2,2,5,4,1,3,5,2,온라인 교육 병행을 희망합니다.
16,2026-08-17 11:37:00,하청교회 행복늘푸른대학,1,3,하청교회 행복늘푸른대학,5,3,3,1,1,4,2,5,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
17,2026-05-01 16:21:00,합천노인통합지원센터,4,3,합천노인통합지원센터,1,3,2,3,5,4,2,5,4,담당자 응대가 친절하고 도움이 되었습니다.
18,2026-09-05 14:38:00,합천노인통합지원센터,1,2,합천노인통합지원센터,1,2,3,5,4,4,2,4,4,온라인 교육 병행을 희망합니다.
19,2026-07-10 12:40:00,공덕의집노인통합지원센터,3,2,공덕의집노인통합지원센터,3,3,5,4,5,4,2,5,4,지속적인 지원을 부탁드립니다.
20,2026-04-11 15:48:00,플러스희망 사회적협동조합,3,2,플러스희망 사회적협동조합,5,1,2,5,5,1,2,3,5,현장 의견 반영이 더 필요합니다.
21,2026-07-05 13:30:00,플러스희망 사회적협동조합,5,4,플러스희망 사회적협동조합,1,1,1,5,3,1,5,1,4,지속적인 지원을 부탁드립니다.
22,2026-06-16 15:08:00,김해시종합사회복지관,3,2,김해시종합사회복지관,4,4,2,2,3,3,5,2,1,교육 주제가 다양해졌으면 합니다.
23,2026-09-26 12:03:00,김해시종합사회복지관,5,1,김해시종합사회복지관,3,1,1,3,2,4,2,1,1,온라인 교육 병행을 희망합니다.
24,2026-05-13 13:58:00,우리들노인통합지원센터,1,3,우리들노인통합지원센터,4,3,4,5,1,1,1,5,3,담당자 응대가 친절하고 도움이 되었습니다.
25,2026-06-07 14:39:00,보현행원노인통합지원센터,5,3,보현행원노인통합지원센터,4,3,2,2,5,5,2,3,5,현장 방문 횟수가 늘어나면 좋겠습니다.
26,2026-09-23 16:50:00,보현행원노인통합지원센터,4,1,보현행원노인통합지원센터,3,2,5,1,2,2,4,2,3,온라인 교육 병행을 희망합니다.
27,2026-06-13 14:00:00,보현행원노인통합지원센터,1,2,보현행원노인통합지원센터,2,5,5,1,5,1,1,4,3,온라인 교육 병행을 희망합니다.
28,2026-04-28 13:19:00,마산회원노인종합복지관,2,4,마산회원노인종합복지관,5,4,2,3,3,3,1,3,2,교육 주제가 다양해졌으면 합니다.
29,2026-04-13 16:38:00,마산회원노인종합복지관,2,1,마산회원노인종합복지관,4,4,3,3,5,2,5,2,3,교육 주제가 다양해졌으면 합니다.
30,2026-09-19 09:17:00,화방남해노인통합지원센터,3,2,화방남해노인통합지원센터,5,2,3,2,5,4,5,2,3,온라인 교육 병행을 희망합니다.
31,2026-06-08 17:06:00,화방남해노인통합지원센터,2,2,화방남해노인통합지원센터,1,4,2,3,3,2,2,1,2,교육 주제가 다양해졌으면 합니다.
32,2026-09-10 10:54:00,화방남해노인통합지원센터,2,2,화방남해노인통합지원센터,3,4,3,1,5,5,3,2,4,담당자 응대가 친절하고 도움이 되었습니다.
33,2026-06-08 14:02:00,진해노인종합복지관,3,1,진해노인종합복지관,4,1,2,2,2,3,1,1,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
34,2026-08-11 17:54:00,화방재가복지센터,4,1,화방재가복지센터,5,3,1,3,2,2,3,3,4,행정 절차 간소화가 필요합니다.
35,2026-04-03 11:23:00,화방재가복지센터,3,1,화방재가복지센터,2,3,2,5,1,4,5,1,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
36,2026-08-01 14:45:00,은빛노인통합지원센터,2,3,은빛노인통합지원센터,5,3,1,5,4,1,3,4,3,지속적인 지원을 부탁드립니다.
37,2026-04-13 15:51:00,효능원노인통합지원센터,2,2,효능원노인통합지원센터,5,2,3,4,2,1,4,1,4,담당자 응대가 친절하고 도움이 되었습니다.
38,2026-04-22 17:42:00,효능원노인통합지원센터,3,4,효능원노인통합지원센터,2,3,2,1,1,4,4,1,3,현장 의견 반영이 더 필요합니다.
39,2026-05-02 14:38:00,김해돌봄지원센터,5,4,김해돌봄지원센터,5,3,4,5,4,4,1,3,2,교육 주제가 다양해졌으면 합니다.
40,2026-09-01 17:02:00,김해돌봄지원센터,5,1,김해돌봄지원센터,1,1,1,3,4,1,1,2,5,담당자 응대가 친절하고 도움이 되었습니다.
41,2026-11-17 17:35:00,창녕군새누리노인종합센터,1,2,창녕군새누리노인종합센터,1,3,4,1,4,2,5,5,1,현장 방문 횟수가 늘어나면 좋겠습니다.
42,2026-11-16 17:46:00,창녕군새누리노인종합센터,3,1,창녕군새누리노인종합센터,5,3,4,5,1,3,1,5,4,지속적인 지원을 부탁드립니다.
43,2026-11-18 11:24:00,정현사회적협동조합,4,2,정현사회적협동조합,5,1,1,4,2,4,2,1,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
44,2026-07-15 11:40:00,정현사회적협동조합,2,4,정현사회적협동조합,2,3,4,3,1,4,5,2,1,종사자 처우 개선이 시급합니다.
45,2026-03-25 15:38:00,밀양시자원봉사단체협의회,4,3,밀양시자원봉사단체협의회,1,3,3,3,5,5,2,4,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
46,2026-09-16 13:36:00,밀양노인통합지원센터,1,4,밀양노인통합지원센터,4,5,5,4,4,3,1,5,3,온라인 교육 병행을 희망합니다.
47,2026-04-03 15:19:00,밀양노인통합지원센터,3,4,밀양노인통합지원센터,1,3,5,3,4,2,3,2,1,종사자 처우 개선이 시급합니다.
48,2026-10-07 11:01:00,산청복음노인통합지원센터,1,2,산청복음노인통합지원센터,3,5,3,4,3,2,2,4,4,온라인 교육 병행을 희망합니다.
49,2026-03-22 12:06:00,거제사랑노인복지센터,4,4,거제사랑노인복지센터,5,4,1,5,2,4,1,3,3,종사자 처우 개선이 시급합니다.
50,2026-05-01 10:09:00,산청해민노인통합지원센터,3,1,산청해민노인통합지원센터,2,3,3,3,3,1,1,3,3,실무 매뉴얼 보완이 필요합니다.
51,2026-03-17 09:42:00,산청해민노인통합지원센터,5,2,산청해민노인통합지원센터,5,4,4,4,2,5,5,4,2,행정 절차 간소화가 필요합니다.
52,2026-04-13 12:00:00,(사)대한노인회함안군지회,2,3,(사)대한노인회함안군지회,2,5,2,1,1,1,5,1,3,교육 주제가 다양해졌으면 합니다.
53,2026-08-06 13:39:00,(사)대한노인회함안군지회,2,1,(사)대한노인회함안군지회,4,3,1,4,5,5,4,3,3,현장 방문 횟수가 늘어나면 좋겠습니다.
54,2026-05-17 16:44:00,사천건양주야간보호센터,2,3,사천건양주야간보호센터,1,5,5,4,2,2,3,2,4,지속적인 지원을 부탁드립니다.
55,2026-09-02 09:10:00,사천건양주야간보호센터,2,2,사천건양주야간보호센터,1,2,2,3,1,3,4,4,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
56,2026-08-03 14:33:00,양산행복한돌봄 사회적협동조합,5,1,양산행복한돌봄 사회적협동조합,3,1,5,2,5,1,3,1,4,현장 방문 횟수가 늘어나면 좋겠습니다.
57,2026-03-23 17:51:00,거제노인통합지원센터,1,2,거제노인통합지원센터,2,5,2,4,5,5,3,3,4,실무 매뉴얼 보완이 필요합니다.
58,2026-03-19 17:24:00,거제노인통합지원센터,2,4,거제노인통합지원센터,1,3,2,4,4,5,3,5,3,행정 절차 간소화가 필요합니다.
59,2026-05-01 11:10:00,의령노인통합지원센터,3,2,의령노인통합지원센터,3,5,5,4,2,1,2,4,2,온라인 교육 병행을 희망합니다.
60,2026-04-10 14:02:00,의령노인통합지원센터,2,1,의령노인통합지원센터,1,5,1,2,4,4,5,1,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
61,2026-06-22 15:00:00,함안군재가노인통합지원센터,4,1,함안군재가노인통합지원센터,1,3,4,1,5,5,1,1,5,실무 매뉴얼 보완이 필요합니다.
62,2026-05-24 14:54:00,함안군재가노인통합지원센터,4,2,함안군재가노인통합지원센터,3,4,4,5,5,2,3,1,1,교육 주제가 다양해졌으면 합니다.
63,2026-07-03 13:05:00,함안군재가노인통합지원센터,2,1,함안군재가노인통합지원센터,5,1,1,5,1,3,1,3,1,교육 주제가 다양해졌으면 합니다.
