응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,D4-1_응대속도,D4-2_문제해결도움,D4-3_상담받은유형,D4-4_내년필요유형(복수),D4-5_바라는점
52,2026-07-22 17:34:00,미타재가복지센터,5,2,미타재가복지센터,2,3,2,4,3,1,5,4,3;5,현장 의견 반영이 더 필요합니다.
53,2026-09-25 14:51:00,화방재가복지센터,3,2,화방재가복지센터,3,2,5,2,4,5,2,5,1;3,온라인 교육 병행을 희망합니다.
54,2026-07-07 14:52:00,화방재가복지센터,1,3,화방재가복지센터,2,5,5,5,3,5,3,4,1;2;4,실무 매뉴얼 보완이 필요합니다.
55,2026-09-10 14:13:00,화방재가복지센터,3,1,화방재가복지센터,4,4,3,1,3,4,1,5,1;2;5,실무 매뉴얼 보완이 필요합니다.
56,2026-08-09 11:35:00,거제사랑노인복지센터,5,4,거제사랑노인복지센터,2,3,3,5,4,4,5,4,4;5,종사자 처우 개선이 시급합니다.
57,2026-07-15 09:26:00,거제사랑노인복지센터,1,4,거제사랑노인복지센터,1,4,5,1,1,3,5,4,1,현장 의견 반영이 더 필요합니다.
58,2026-06-26 17:16:00,거제사랑노인복지센터,4,1,거제사랑노인복지센터,3,4,4,3,4,4,3,1,1;3;4,현장 의견 반영이 더 필요합니다.
59,2026-04-13 16:42:00,거창노인통합지원센터,3,3,거창노인통합지원센터,5,2,2,3,2,3,5,6,5;6,지속적인 지원을 부탁드립니다.
60,2026-03-09 14:48:00,거창노인통합지원센터,1,3,거창노인통합지원센터,4,4,5,2,4,3,3,1,6,행정 절차 간소화가 필요합니다.
61,2026-05-26 17:27:00,거창노인통합지원센터,1,4,거창노인통합지원센터,5,5,2,3,4,1,3,1,3,현장 의견 반영이 더 필요합니다.
62,2026-06-18 14:55:00,김해돌봄지원센터,4,4,김해돌봄지원센터,2,4,3,5,1,4,2,5,2;3;5,현장 방문 횟수가 늘어나면 좋겠습니다.
63,2026-11-28 09:42:00,김해돌봄지원센터,4,2,김해돌봄지원센터,3,5,3,2,1,1,1,1,4,종사자 처우 개선이 시급합니다.
64,2026-09-20 14:05:00,김해돌봄지원센터,5,2,김해돌봄지원센터,1,3,5,3,2,4,4,3,1;4;6,교육 주제가 다양해졌으면 합니다.
65,2026-08-14 11:03:00,명진노인통합지원센터,2,4,명진노인통합지원센터,2,3,3,3,2,5,3,4,2;4;5,교육 주제가 다양해졌으면 합니다.
66,2026-04-18 10:43:00,명진노인통합지원센터,2,2,명진노인통합지원센터,2,3,4,4,1,4,1,4,1,온라인 교육 병행을 희망합니다.
67,2026-07-28 14:29:00,사회적협동조합 합천종합복지공동체,4,4,사회적협동조합 합천종합복지공동체,2,4,2,4,2,4,4,5,1;6,종사자 처우 개선이 시급합니다.
68,2026-11-20 16:52:00,사회적협동조합 합천종합복지공동체,4,3,사회적협동조합 합천종합복지공동체,4,3,5,3,3,2,3,5,2;3;6,교육 주제가 다양해졌으면 합니다.
69,2026-10-26 13:56:00,코끼리행복복지센터,1,2,코끼리행복복지센터,4,4,4,4,5,4,3,1,1;2,온라인 교육 병행을 희망합니다.
70,2026-09-15 14:05:00,코끼리행복복지센터,3,4,코끼리행복복지센터,3,2,3,1,1,3,4,2,1;2;5,현장 의견 반영이 더 필요합니다.
71,2026-03-19 13:47:00,하동노인통합지원센터,1,4,하동노인통합지원센터,3,4,3,5,2,2,3,6,2;3,종사자 처우 개선이 시급합니다.
72,2026-08-21 15:23:00,하동노인통합지원센터,2,3,하동노인통합지원센터,2,2,2,4,4,1,1,1,1;4,실무 매뉴얼 보완이 필요합니다.
73,2026-04-03 09:47:00,하동노인통합지원센터,2,3,하동노인통합지원센터,5,3,4,1,1,5,5,5,3;4;5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
74,2026-11-04 14:32:00,사단법인 대한노인회 함양군지회,2,4,사단법인 대한노인회 함양군지회,3,4,4,1,3,3,4,4,1;5,현장 방문 횟수가 늘어나면 좋겠습니다.
75,2026-10-22 09:17:00,산청성모노인통합지원센터,4,4,산청성모노인통합지원센터,4,4,5,2,5,1,3,6,3,현장 방문 횟수가 늘어나면 좋겠습니다.
76,2026-08-20 14:01:00,산청성모노인통합지원센터,5,1,산청성모노인통합지원센터,3,2,2,2,1,2,5,6,4,현장 방문 횟수가 늘어나면 좋겠습니다.
77,2026-07-28 09:20:00,산청성모노인통합지원센터,3,4,산청성모노인통합지원센터,2,5,5,4,2,2,1,3,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
78,2026-04-18 15:24:00,진주노인통합지원센터,1,3,진주노인통합지원센터,4,3,4,2,2,5,5,1,4;5,지속적인 지원을 부탁드립니다.
79,2026-07-15 13:55:00,남양양로원,3,2,남양양로원,1,2,3,5,3,3,1,1,2;5;6,종사자 처우 개선이 시급합니다.
80,2026-06-27 14:05:00,정현사회적협동조합,5,4,정현사회적협동조합,4,3,4,4,3,1,2,1,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
81,2026-11-22 12:00:00,정현사회적협동조합,2,3,정현사회적협동조합,5,3,2,3,4,3,5,1,2;5,종사자 처우 개선이 시급합니다.
82,2026-08-21 11:44:00,통영노인통합지원센터,1,4,통영노인통합지원센터,5,5,3,3,5,5,1,5,1;2;3,종사자 처우 개선이 시급합니다.
83,2026-09-11 14:51:00,통영노인통합지원센터,5,1,통영노인통합지원센터,4,4,3,5,2,2,5,2,5,교육 주제가 다양해졌으면 합니다.
84,2026-07-18 10:35:00,통영노인통합지원센터,1,1,통영노인통합지원센터,2,5,1,3,4,2,3,2,2;3;5,담당자 응대가 친절하고 도움이 되었습니다.
85,2026-08-19 16:47:00,공덕의집노인통합지원센터,2,1,공덕의집노인통합지원센터,5,1,2,1,5,3,2,4,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
86,2026-07-24 15:05:00,창원도우누리노인통합재가센터,2,2,창원도우누리노인통합재가센터,1,3,3,3,2,1,1,3,1,교육 주제가 다양해졌으면 합니다.
87,2026-07-10 09:28:00,경남노인통합지원센터,4,1,경남노인통합지원센터,1,1,5,4,3,5,5,3,3;4;6,현장 방문 횟수가 늘어나면 좋겠습니다.
88,2026-09-08 13:20:00,사랑원노인지원센터,3,1,사랑원노인지원센터,5,2,5,5,1,2,4,5,2;3;6,현장 의견 반영이 더 필요합니다.
89,2026-09-10 10:59:00,사랑원노인지원센터,5,1,사랑원노인지원센터,1,4,1,4,4,5,1,1,6,종사자 처우 개선이 시급합니다.
90,2026-05-06 13:08:00,사랑원노인지원센터,1,4,사랑원노인지원센터,5,2,4,5,2,2,1,6,3;4,담당자 응대가 친절하고 도움이 되었습니다.
91,2026-09-27 15:09:00,거창인애노인통합지원센터,1,2,거창인애노인통합지원센터,3,4,5,1,1,1,3,5,2,지속적인 지원을 부탁드립니다.
92,2026-10-05 11:35:00,거창인애노인통합지원센터,4,1,거창인애노인통합지원센터,2,2,2,1,1,4,3,5,4;5,담당자 응대가 친절하고 도움이 되었습니다.
93,2026-07-26 12:35:00,거창인애노인통합지원센터,4,1,거창인애노인통합지원센터,2,5,3,1,3,3,2,6,3,종사자 처우 개선이 시급합니다.
