응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,E3-1_홍보물도움,E3-2_광역지원충분,E3-3_효과적채널,E3-4_내년집중채널,E3-5_바라는점
12,2026-05-09 17:31:00,거제노인통합지원센터,2,2,거제노인통합지원센터,5,3,5,4,3,2,5,2,4,현장 방문 횟수가 늘어나면 좋겠습니다.
13,2026-10-22 10:16:00,사랑원노인지원센터,1,2,사랑원노인지원센터,3,5,2,1,4,5,4,4,1,현장 방문 횟수가 늘어나면 좋겠습니다.
14,2026-03-12 14:35:00,사랑원노인지원센터,1,4,사랑원노인지원센터,2,3,4,5,2,1,1,4,2,지속적인 지원을 부탁드립니다.
15,2026-03-13 17:39:00,사랑원노인지원센터,2,3,사랑원노인지원센터,3,4,3,4,2,5,5,5,4,현장 의견 반영이 더 필요합니다.
16,2026-07-22 14:23:00,경남하동지역자활센터,4,1,경남하동지역자활센터,2,5,2,3,2,4,1,5,4,현장 방문 횟수가 늘어나면 좋겠습니다.
17,2026-05-12 14:08:00,미타재가복지센터,5,1,미타재가복지센터,3,1,5,2,4,1,1,1,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
18,2026-03-03 14:27:00,미타재가복지센터,1,4,미타재가복지센터,1,5,4,2,5,3,3,5,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
19,2026-05-03 12:00:00,미타재가복지센터,1,2,미타재가복지센터,2,5,3,4,5,5,1,5,4,온라인 교육 병행을 희망합니다.
20,2026-06-22 12:04:00,하청교회 행복늘푸른대학,1,3,하청교회 행복늘푸른대학,3,5,1,4,4,2,4,3,3,현장 방문 횟수가 늘어나면 좋겠습니다.
21,2026-05-05 10:49:00,진주노인통합지원센터,5,2,진주노인통합지원센터,2,1,4,2,1,5,4,3,1,온라인 교육 병행을 희망합니다.
22,2026-04-21 12:53:00,산청한일노인통합지원센터,1,2,산청한일노인통합지원센터,2,4,3,1,4,5,2,4,5,교육 주제가 다양해졌으면 합니다.
23,2026-08-21 10:26:00,산청한일노인통합지원센터,4,4,산청한일노인통합지원센터,3,1,2,2,2,5,1,5,2,담당자 응대가 친절하고 도움이 되었습니다.
24,2026-05-26 17:09:00,산청성모노인통합지원센터,4,4,산청성모노인통합지원센터,1,2,4,5,2,4,5,3,5,실무 매뉴얼 보완이 필요합니다.
25,2026-08-28 11:59:00,산청성모노인통합지원센터,2,3,산청성모노인통합지원센터,2,5,4,3,3,3,5,3,2,현장 방문 횟수가 늘어나면 좋겠습니다.
26,2026-11-14 17:07:00,(사)대한노인회함안군지회,1,1,(사)대한노인회함안군지회,3,2,2,1,4,3,1,5,5,현장 의견 반영이 더 필요합니다.
27,2026-08-18 16:30:00,(사)대한노인회함안군지회,1,3,(사)대한노인회함안군지회,3,3,5,1,4,2,4,5,4,실무 매뉴얼 보완이 필요합니다.
28,2026-03-06 14:36:00,(사)대한노인회함안군지회,1,2,(사)대한노인회함안군지회,1,3,4,2,4,2,1,4,2,현장 방문 횟수가 늘어나면 좋겠습니다.
29,2026-03-07 11:12:00,창녕지역자활센터,3,3,창녕지역자활센터,1,5,1,2,5,3,3,5,5,실무 매뉴얼 보완이 필요합니다.
30,2026-10-15 12:46:00,창녕지역자활센터,4,2,창녕지역자활센터,5,3,4,5,3,3,1,5,2,행정 절차 간소화가 필요합니다.
31,2026-10-09 10:04:00,밀양노인통합지원센터,1,4,밀양노인통합지원센터,2,4,4,1,2,5,4,2,3,현장 방문 횟수가 늘어나면 좋겠습니다.
32,2026-10-28 15:06:00,밀양노인통합지원센터,1,2,밀양노인통합지원센터,3,5,3,2,2,2,1,1,5,현장 의견 반영이 더 필요합니다.
33,2026-08-13 12:02:00,밀양노인통합지원센터,5,2,밀양노인통합지원센터,5,2,3,5,2,5,4,2,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
34,2026-10-22 17:33:00,은빛노인통합지원센터,2,1,은빛노인통합지원센터,2,4,2,4,3,3,5,3,2,담당자 응대가 친절하고 도움이 되었습니다.
35,2026-10-05 09:04:00,산청복음노인통합지원센터,5,4,산청복음노인통합지원센터,1,5,3,2,5,4,3,1,4,담당자 응대가 친절하고 도움이 되었습니다.
36,2026-09-25 12:40:00,성요셉소규모노인종합센터,4,3,성요셉소규모노인종합센터,1,2,5,3,3,3,1,1,1,지속적인 지원을 부탁드립니다.
37,2026-04-02 17:07:00,성요셉소규모노인종합센터,5,3,성요셉소규모노인종합센터,5,3,2,2,4,2,2,1,1,교육 주제가 다양해졌으면 합니다.
38,2026-03-15 11:08:00,해월노인복지센터,2,3,해월노인복지센터,1,2,5,2,1,2,3,2,3,교육 주제가 다양해졌으면 합니다.
39,2026-10-11 12:36:00,해월노인복지센터,1,4,해월노인복지센터,5,2,5,1,5,1,4,4,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
40,2026-09-20 15:53:00,우리들노인통합지원센터,5,4,우리들노인통합지원센터,3,1,2,2,1,3,3,3,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
41,2026-03-13 10:27:00,우리들노인통합지원센터,4,3,우리들노인통합지원센터,5,4,1,1,5,3,3,3,5,현장 의견 반영이 더 필요합니다.
42,2026-08-24 10:31:00,마산회원노인종합복지관,4,3,마산회원노인종합복지관,2,5,4,2,5,1,5,2,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
43,2026-08-01 14:52:00,창원도우누리노인통합재가센터,1,4,창원도우누리노인통합재가센터,5,5,4,1,2,1,3,2,3,지속적인 지원을 부탁드립니다.
44,2026-06-23 11:08:00,나누리노인통합지원센터,5,1,나누리노인통합지원센터,3,5,5,2,4,4,3,2,3,행정 절차 간소화가 필요합니다.
45,2026-03-23 13:31:00,김해돌봄지원센터,4,2,김해돌봄지원센터,3,2,5,3,1,1,1,1,3,담당자 응대가 친절하고 도움이 되었습니다.
46,2026-08-11 17:43:00,김해돌봄지원센터,4,2,김해돌봄지원센터,4,4,5,5,5,2,4,1,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
47,2026-10-09 17:37:00,김해돌봄지원센터,1,2,김해돌봄지원센터,1,3,3,5,5,1,5,4,1,종사자 처우 개선이 시급합니다.
48,2026-04-26 13:52:00,거창노인통합지원센터,2,2,거창노인통합지원센터,5,2,3,3,3,3,5,2,1,지속적인 지원을 부탁드립니다.
49,2026-08-19 15:28:00,거창노인통합지원센터,3,4,거창노인통합지원센터,4,5,5,1,1,2,4,5,5,교육 주제가 다양해졌으면 합니다.
50,2026-07-25 14:29:00,거제사랑노인복지센터,4,2,거제사랑노인복지센터,4,3,3,1,1,4,1,5,5,지속적인 지원을 부탁드립니다.
51,2026-10-02 10:56:00,동진노인통합지원센터,3,2,동진노인통합지원센터,2,1,2,2,4,5,5,4,1,현장 의견 반영이 더 필요합니다.
52,2026-11-07 13:29:00,동진노인통합지원센터,4,1,동진노인통합지원센터,2,5,5,5,5,5,2,1,4,행정 절차 간소화가 필요합니다.
53,2026-09-04 10:47:00,동진노인통합지원센터,2,4,동진노인통합지원센터,5,5,2,4,1,3,4,1,2,교육 주제가 다양해졌으면 합니다.
54,2026-10-24 17:56:00,플러스희망 사회적협동조합,5,3,플러스희망 사회적협동조합,2,5,3,5,5,5,4,5,1,종사자 처우 개선이 시급합니다.
55,2026-07-25 12:36:00,플러스희망 사회적협동조합,4,4,플러스희망 사회적협동조합,2,1,5,1,1,4,2,4,5,행정 절차 간소화가 필요합니다.
56,2026-07-26 13:20:00,플러스희망 사회적협동조합,4,3,플러스희망 사회적협동조합,3,3,1,1,4,4,5,2,4,담당자 응대가 친절하고 도움이 되었습니다.
57,2026-08-10 12:19:00,사회적협동조합 노인세상,4,3,사회적협동조합 노인세상,5,1,4,1,3,2,3,5,5,교육 주제가 다양해졌으면 합니다.
58,2026-11-11 09:29:00,사회적협동조합 노인세상,5,4,사회적협동조합 노인세상,3,5,3,4,5,2,4,3,4,종사자 처우 개선이 시급합니다.
59,2026-09-16 17:19:00,산청해민노인통합지원센터,2,3,산청해민노인통합지원센터,1,4,2,1,4,1,4,4,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
60,2026-06-11 09:41:00,사회복지법인신생원양산재가노인복지센터,1,4,사회복지법인신생원양산재가노인복지센터,5,5,2,4,5,2,2,2,2,종사자 처우 개선이 시급합니다.
61,2026-08-10 09:15:00,사회복지법인신생원양산재가노인복지센터,2,4,사회복지법인신생원양산재가노인복지센터,5,5,5,3,2,5,3,1,2,교육 주제가 다양해졌으면 합니다.
62,2026-04-25 11:59:00,사회복지법인신생원양산재가노인복지센터,4,3,사회복지법인신생원양산재가노인복지센터,2,2,4,2,3,3,1,3,5,온라인 교육 병행을 희망합니다.
63,2026-07-20 09:12:00,생명의전화노인통합지원센터,2,2,생명의전화노인통합지원센터,2,3,4,4,1,3,4,5,3,현장 의견 반영이 더 필요합니다.
64,2026-06-23 14:20:00,코끼리행복복지센터,3,3,코끼리행복복지센터,4,1,2,1,1,4,1,4,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
65,2026-06-14 13:16:00,코끼리행복복지센터,3,3,코끼리행복복지센터,4,4,1,2,1,5,5,2,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
66,2026-05-16 09:53:00,코끼리행복복지센터,4,3,코끼리행복복지센터,1,4,4,1,2,2,2,5,2,현장 의견 반영이 더 필요합니다.
