응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,D1-1_응대속도,D1-2_문제해결도움,D1-3_지원받은분야,D1-4_내년필요분야(복수),D1-5_바라는점
82,2026-05-14 09:47:00,양산행복한돌봄 사회적협동조합,3,4,양산행복한돌봄 사회적협동조합,5,3,2,4,4,4,3,5,1,온라인 교육 병행을 희망합니다.
83,2026-06-23 09:24:00,양산행복한돌봄 사회적협동조합,4,2,양산행복한돌봄 사회적협동조합,5,2,1,3,1,5,1,4,2;3;5,담당자 응대가 친절하고 도움이 되었습니다.
84,2026-08-27 14:36:00,밀양노인통합지원센터,3,4,밀양노인통합지원센터,5,5,5,1,4,2,2,2,2;6,교육 주제가 다양해졌으면 합니다.
85,2026-10-04 16:39:00,밀양노인통합지원센터,5,1,밀양노인통합지원센터,2,2,2,4,5,1,1,6,3;6,종사자 처우 개선이 시급합니다.
86,2026-10-02 17:17:00,진해서부노인종합복지관,4,4,진해서부노인종합복지관,5,3,3,1,4,4,4,3,2;5,종사자 처우 개선이 시급합니다.
87,2026-04-27 17:34:00,진해서부노인종합복지관,5,1,진해서부노인종합복지관,4,2,4,5,1,3,5,1,4;5,현장 의견 반영이 더 필요합니다.
88,2026-11-19 13:23:00,진해서부노인종합복지관,5,4,진해서부노인종합복지관,2,4,5,2,5,3,5,5,2;4,종사자 처우 개선이 시급합니다.
89,2026-05-01 16:25:00,하청교회 행복늘푸른대학,1,2,하청교회 행복늘푸른대학,2,5,4,1,2,1,5,1,1;3;5,담당자 응대가 친절하고 도움이 되었습니다.
90,2026-11-17 15:54:00,(사)대한노인회함안군지회,1,2,(사)대한노인회함안군지회,1,4,1,4,4,5,1,1,4,실무 매뉴얼 보완이 필요합니다.
91,2026-05-08 16:49:00,(사)대한노인회함안군지회,2,2,(사)대한노인회함안군지회,4,5,5,2,2,3,5,6,3;6,실무 매뉴얼 보완이 필요합니다.
92,2026-10-02 12:45:00,(사)대한노인회함안군지회,3,1,(사)대한노인회함안군지회,4,4,3,4,5,5,4,5,2;3;6,지속적인 지원을 부탁드립니다.
93,2026-10-01 16:28:00,경남고용복지센터,2,1,경남고용복지센터,2,2,1,3,3,3,1,6,1;4,지속적인 지원을 부탁드립니다.
94,2026-05-21 10:33:00,경남고용복지센터,4,2,경남고용복지센터,5,3,3,3,1,3,3,5,1;2;5,행정 절차 간소화가 필요합니다.
95,2026-04-10 16:03:00,경남고용복지센터,1,2,경남고용복지센터,2,3,1,2,4,5,4,1,4;6,종사자 처우 개선이 시급합니다.
96,2026-04-24 09:37:00,나누리노인통합지원센터,4,4,나누리노인통합지원센터,5,4,5,1,2,2,3,6,3;4,종사자 처우 개선이 시급합니다.
97,2026-07-09 15:30:00,나누리노인통합지원센터,5,3,나누리노인통합지원센터,1,2,4,4,3,1,1,4,2,실무 매뉴얼 보완이 필요합니다.
98,2026-08-16 12:48:00,나누리노인통합지원센터,4,2,나누리노인통합지원센터,1,3,5,4,3,4,2,5,2;4;6,교육 주제가 다양해졌으면 합니다.
99,2026-11-13 17:49:00,진해노인종합복지관,2,1,진해노인종합복지관,2,5,1,3,5,3,3,6,2,교육 주제가 다양해졌으면 합니다.
