응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,F1-1_홍보효과,F1-2_지원충분성,F1-3_효과적채널,F1-4_내년필요지원,F1-5_바라는점
59,2026-09-25 13:29:00,대한노인회 고성군지회(노인맞춤돌봄서비스),2,1,대한노인회 고성군지회(노인맞춤돌봄서비스),5,5,2,3,1,2,3,2,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
60,2026-05-24 13:56:00,대한노인회 고성군지회(노인맞춤돌봄서비스),3,1,대한노인회 고성군지회(노인맞춤돌봄서비스),2,5,2,4,2,3,1,5,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
61,2026-05-26 10:52:00,대한노인회 고성군지회(노인맞춤돌봄서비스),5,1,대한노인회 고성군지회(노인맞춤돌봄서비스),3,2,3,4,5,3,5,5,1,현장 의견 반영이 더 필요합니다.
62,2026-10-20 13:05:00,진해노인종합복지관,2,2,진해노인종합복지관,2,3,3,4,1,1,5,5,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
63,2026-06-26 13:47:00,진해노인종합복지관,2,3,진해노인종합복지관,5,3,4,1,2,2,5,5,4,담당자 응대가 친절하고 도움이 되었습니다.
64,2026-09-18 15:05:00,거창노인통합지원센터,2,4,거창노인통합지원센터,2,3,2,1,1,2,1,2,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
65,2026-06-17 10:14:00,거창노인통합지원센터,1,1,거창노인통합지원센터,3,5,3,5,1,2,5,5,5,현장 의견 반영이 더 필요합니다.
66,2026-11-21 17:45:00,경남하동지역자활센터,1,4,경남하동지역자활센터,4,3,3,2,2,1,5,1,5,실무 매뉴얼 보완이 필요합니다.
67,2026-03-17 11:04:00,경남하동지역자활센터,2,2,경남하동지역자활센터,3,4,5,2,1,4,2,2,4,현장 방문 횟수가 늘어나면 좋겠습니다.
68,2026-10-02 13:59:00,경남하동지역자활센터,1,4,경남하동지역자활센터,1,1,2,5,5,1,5,1,5,온라인 교육 병행을 희망합니다.
69,2026-03-11 09:07:00,동진노인통합지원센터,2,2,동진노인통합지원센터,2,1,2,3,3,5,3,4,1,온라인 교육 병행을 희망합니다.
70,2026-04-09 17:30:00,동진노인통합지원센터,4,3,동진노인통합지원센터,1,4,4,3,2,3,4,2,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
71,2026-06-04 15:01:00,양산행복한돌봄 사회적협동조합,2,4,양산행복한돌봄 사회적협동조합,5,1,1,1,3,4,1,2,5,실무 매뉴얼 보완이 필요합니다.
72,2026-09-28 12:03:00,양산행복한돌봄 사회적협동조합,4,4,양산행복한돌봄 사회적협동조합,4,1,1,3,5,5,3,4,5,현장 방문 횟수가 늘어나면 좋겠습니다.
73,2026-06-28 11:49:00,합천노인통합지원센터,2,2,합천노인통합지원센터,4,1,1,4,1,3,5,1,1,실무 매뉴얼 보완이 필요합니다.
74,2026-10-28 10:17:00,합천노인통합지원센터,1,4,합천노인통합지원센터,2,2,2,2,3,2,1,4,3,종사자 처우 개선이 시급합니다.
75,2026-07-10 17:44:00,진주노인통합지원센터,5,2,진주노인통합지원센터,5,2,2,4,3,5,1,5,4,담당자 응대가 친절하고 도움이 되었습니다.
76,2026-05-17 14:58:00,진주노인통합지원센터,5,2,진주노인통합지원센터,3,5,3,3,3,3,1,2,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
77,2026-09-26 09:13:00,거제사랑노인복지센터,3,2,거제사랑노인복지센터,2,4,4,5,5,2,5,4,2,현장 방문 횟수가 늘어나면 좋겠습니다.
78,2026-06-05 12:34:00,거제사랑노인복지센터,1,1,거제사랑노인복지센터,3,2,4,3,4,3,5,3,4,현장 방문 횟수가 늘어나면 좋겠습니다.
79,2026-07-17 15:47:00,거제사랑노인복지센터,4,3,거제사랑노인복지센터,1,4,2,4,1,2,1,4,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
80,2026-08-12 11:36:00,명진노인통합지원센터,4,4,명진노인통합지원센터,4,1,1,3,3,5,3,1,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
81,2026-04-24 13:16:00,명진노인통합지원센터,1,3,명진노인통합지원센터,4,2,5,1,3,2,4,1,1,현장 방문 횟수가 늘어나면 좋겠습니다.
