응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,F3-1_처우개선도움,F3-2_폭언대응지원,F3-3_도움된지원,F3-4_내년필요지원(복수),F3-5_바라는점
14,2026-09-04 14:55:00,우리들노인통합지원센터,1,1,우리들노인통합지원센터,1,1,1,2,5,1,3,3,1;3;5,담당자 응대가 친절하고 도움이 되었습니다.
15,2026-06-14 13:31:00,사천건양주야간보호센터,5,2,사천건양주야간보호센터,1,3,5,5,1,1,1,5,1;4,행정 절차 간소화가 필요합니다.
16,2026-10-23 09:19:00,사천건양주야간보호센터,5,1,사천건양주야간보호센터,3,4,2,5,1,4,4,5,2;4;6,현장 방문 횟수가 늘어나면 좋겠습니다.
17,2026-10-06 09:37:00,사천건양주야간보호센터,4,1,사천건양주야간보호센터,1,2,2,4,2,4,3,2,1;2;3,종사자 처우 개선이 시급합니다.
18,2026-10-06 13:58:00,효능원노인통합지원센터,3,4,효능원노인통합지원센터,1,3,3,4,5,2,2,4,1;6,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
19,2026-08-10 10:53:00,효능원노인통합지원센터,4,4,효능원노인통합지원센터,2,2,4,1,5,4,5,3,5;6,종사자 처우 개선이 시급합니다.
20,2026-11-14 10:02:00,창녕군새누리노인종합센터,5,3,창녕군새누리노인종합센터,5,4,2,3,5,4,4,5,2;6,현장 방문 횟수가 늘어나면 좋겠습니다.
21,2026-07-09 16:03:00,창녕군새누리노인종합센터,2,4,창녕군새누리노인종합센터,2,2,4,4,4,4,3,5,3;6,종사자 처우 개선이 시급합니다.
22,2026-10-21 15:24:00,창녕군새누리노인종합센터,5,3,창녕군새누리노인종합센터,5,3,4,1,3,3,2,3,3;6,현장 의견 반영이 더 필요합니다.
23,2026-05-09 09:49:00,동진노인통합지원센터,3,2,동진노인통합지원센터,4,4,2,5,1,5,3,5,2;3;4,실무 매뉴얼 보완이 필요합니다.
24,2026-07-11 09:15:00,동진노인통합지원센터,4,3,동진노인통합지원센터,3,5,1,4,5,1,3,2,2;3;6,현장 방문 횟수가 늘어나면 좋겠습니다.
25,2026-06-06 10:15:00,동진노인통합지원센터,4,4,동진노인통합지원센터,3,5,1,3,1,4,2,4,1,행정 절차 간소화가 필요합니다.
26,2026-08-01 15:13:00,합천노인통합지원센터,2,3,합천노인통합지원센터,1,3,1,1,2,4,3,5,5,온라인 교육 병행을 희망합니다.
27,2026-09-07 12:57:00,사랑원노인지원센터,3,4,사랑원노인지원센터,4,3,4,3,4,4,1,2,2,온라인 교육 병행을 희망합니다.
28,2026-06-27 16:16:00,사랑원노인지원센터,1,3,사랑원노인지원센터,5,2,1,5,3,1,1,1,2,온라인 교육 병행을 희망합니다.
29,2026-09-02 16:51:00,사랑원노인지원센터,5,1,사랑원노인지원센터,5,3,1,4,3,5,3,5,4;5,온라인 교육 병행을 희망합니다.
30,2026-11-07 12:55:00,(사)대한노인회함안군지회,1,4,(사)대한노인회함안군지회,1,3,3,2,3,4,3,3,2;4;5,지속적인 지원을 부탁드립니다.
31,2026-08-22 11:26:00,진해노인종합복지관,1,2,진해노인종합복지관,4,1,4,5,4,3,4,4,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
32,2026-11-22 10:10:00,성요셉소규모노인종합센터,5,2,성요셉소규모노인종합센터,2,4,1,2,5,1,2,2,3;4,지속적인 지원을 부탁드립니다.
33,2026-11-10 10:44:00,성요셉소규모노인종합센터,2,2,성요셉소규모노인종합센터,4,4,5,4,1,3,5,1,1;5,현장 의견 반영이 더 필요합니다.
34,2026-09-28 14:07:00,성요셉소규모노인종합센터,1,4,성요셉소규모노인종합센터,3,1,4,1,4,5,2,5,3;4;6,종사자 처우 개선이 시급합니다.
35,2026-07-17 12:51:00,마산회원노인종합복지관,1,2,마산회원노인종합복지관,3,5,3,4,2,4,3,3,1;3;6,행정 절차 간소화가 필요합니다.
36,2026-05-16 11:32:00,마산회원노인종합복지관,1,1,마산회원노인종합복지관,2,1,4,5,5,2,4,3,6,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
37,2026-09-16 17:20:00,마산회원노인종합복지관,5,3,마산회원노인종합복지관,3,3,1,5,5,5,3,5,1,교육 주제가 다양해졌으면 합니다.
38,2026-03-15 14:27:00,사단법인 대한노인회 함양군지회,1,3,사단법인 대한노인회 함양군지회,2,4,5,5,1,1,3,2,6,현장 의견 반영이 더 필요합니다.
39,2026-09-13 12:14:00,김해돌봄지원센터,1,2,김해돌봄지원센터,2,3,4,3,3,1,2,1,5;6,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
40,2026-07-26 09:51:00,플러스희망 사회적협동조합,2,4,플러스희망 사회적협동조합,2,2,1,1,2,5,3,2,5,지속적인 지원을 부탁드립니다.
41,2026-03-01 13:08:00,플러스희망 사회적협동조합,2,1,플러스희망 사회적협동조합,5,2,1,4,5,2,1,3,1;2;6,현장 의견 반영이 더 필요합니다.
42,2026-07-17 13:45:00,거창노인통합지원센터,4,2,거창노인통합지원센터,5,3,4,4,5,4,2,5,2;3;6,지속적인 지원을 부탁드립니다.
43,2026-08-08 17:53:00,거창노인통합지원센터,1,3,거창노인통합지원센터,1,5,2,4,2,2,5,2,2;3,실무 매뉴얼 보완이 필요합니다.
44,2026-04-17 14:11:00,통영노인통합지원센터,3,3,통영노인통합지원센터,4,4,5,5,1,3,3,5,2,현장 의견 반영이 더 필요합니다.
45,2026-11-04 15:46:00,통영노인통합지원센터,5,3,통영노인통합지원센터,3,3,5,4,4,1,3,1,3;5;6,실무 매뉴얼 보완이 필요합니다.
46,2026-04-23 14:47:00,의령노인통합지원센터,1,2,의령노인통합지원센터,3,3,4,3,1,2,3,1,4;5,지속적인 지원을 부탁드립니다.
47,2026-08-26 14:38:00,의령노인통합지원센터,2,3,의령노인통합지원센터,3,5,5,1,1,5,2,2,3;4,행정 절차 간소화가 필요합니다.
48,2026-10-25 16:40:00,의령노인통합지원센터,4,4,의령노인통합지원센터,3,3,5,2,3,3,1,2,5,온라인 교육 병행을 희망합니다.
49,2026-07-24 12:30:00,해월노인복지센터,5,4,해월노인복지센터,5,1,1,4,1,3,3,3,3;5;6,실무 매뉴얼 보완이 필요합니다.
50,2026-09-15 13:59:00,대한노인회 고성군지회(노인맞춤돌봄서비스),1,4,대한노인회 고성군지회(노인맞춤돌봄서비스),4,2,2,5,3,4,4,1,3,지속적인 지원을 부탁드립니다.
51,2026-06-11 09:59:00,대한노인회 고성군지회(노인맞춤돌봄서비스),2,4,대한노인회 고성군지회(노인맞춤돌봄서비스),4,4,3,5,1,4,3,1,2,온라인 교육 병행을 희망합니다.
52,2026-05-22 16:25:00,대한노인회 고성군지회(노인맞춤돌봄서비스),3,2,대한노인회 고성군지회(노인맞춤돌봄서비스),1,3,3,1,2,3,1,4,1;3;6,행정 절차 간소화가 필요합니다.
53,2026-08-18 12:50:00,산청한일노인통합지원센터,3,3,산청한일노인통합지원센터,3,5,3,3,4,2,1,4,2;5;6,지속적인 지원을 부탁드립니다.
54,2026-10-23 15:26:00,산청한일노인통합지원센터,5,1,산청한일노인통합지원센터,5,5,3,1,3,5,1,1,1;3;4,교육 주제가 다양해졌으면 합니다.
55,2026-10-03 14:58:00,화방남해노인통합지원센터,3,4,화방남해노인통합지원센터,5,3,2,1,5,4,5,2,4,종사자 처우 개선이 시급합니다.
56,2026-03-25 12:55:00,나누리노인통합지원센터,1,4,나누리노인통합지원센터,1,5,5,5,5,5,3,1,1,지속적인 지원을 부탁드립니다.
57,2026-08-26 17:12:00,나누리노인통합지원센터,5,1,나누리노인통합지원센터,1,1,3,2,2,1,2,4,1;6,실무 매뉴얼 보완이 필요합니다.
58,2026-06-22 12:45:00,화방재가복지센터,2,4,화방재가복지센터,2,4,5,1,2,1,2,5,2;4;6,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
59,2026-11-18 12:33:00,화방재가복지센터,3,3,화방재가복지센터,4,5,1,4,4,4,4,2,1;2;3,종사자 처우 개선이 시급합니다.
60,2026-06-10 17:44:00,화방재가복지센터,1,2,화방재가복지센터,3,2,4,4,3,4,3,2,3;4;5,현장 의견 반영이 더 필요합니다.
61,2026-10-21 17:12:00,양산행복한돌봄 사회적협동조합,2,4,양산행복한돌봄 사회적협동조합,5,4,4,2,4,5,3,5,6,종사자 처우 개선이 시급합니다.
62,2026-10-15 13:17:00,양산행복한돌봄 사회적협동조합,5,2,양산행복한돌봄 사회적협동조합,3,4,5,4,1,3,3,4,2;3;5,교육 주제가 다양해졌으면 합니다.
63,2026-08-11 15:25:00,사회적협동조합 노인세상,3,2,사회적협동조합 노인세상,2,5,3,1,2,4,5,1,3;4;5,실무 매뉴얼 보완이 필요합니다.
64,2026-09-14 17:04:00,산청해민노인통합지원센터,1,2,산청해민노인통합지원센터,2,5,2,2,2,3,4,5,2;6,현장 의견 반영이 더 필요합니다.
65,2026-06-15 12:14:00,산청해민노인통합지원센터,4,3,산청해민노인통합지원센터,1,4,1,2,5,4,4,3,3;4;5,종사자 처우 개선이 시급합니다.
66,2026-03-09 14:20:00,함안군재가노인통합지원센터,5,4,함안군재가노인통합지원센터,3,4,4,3,4,5,4,5,1;3;6,지속적인 지원을 부탁드립니다.
67,2026-05-13 16:41:00,진주노인통합지원센터,4,3,진주노인통합지원센터,3,5,3,2,4,2,2,4,3,현장 방문 횟수가 늘어나면 좋겠습니다.
