응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,C-1_안건도움,C-2_사례공유충분,C-3_현장방식편리,C-4_내년주제(복수),C-5_바라는점
18,2026-09-09 16:53:00,마산회원노인종합복지관,1,1,마산회원노인종합복지관,4,5,1,1,4,4,1,2,4,교육 주제가 다양해졌으면 합니다.
19,2026-03-11 09:02:00,효능원노인통합지원센터,3,2,효능원노인통합지원센터,2,2,4,4,2,3,3,4,1;2;4,담당자 응대가 친절하고 도움이 되었습니다.
20,2026-07-26 16:27:00,효능원노인통합지원센터,2,1,효능원노인통합지원센터,5,2,5,1,4,3,3,1,3,실무 매뉴얼 보완이 필요합니다.
21,2026-11-11 10:44:00,거창인애노인통합지원센터,5,2,거창인애노인통합지원센터,5,2,2,4,2,4,2,5,2,실무 매뉴얼 보완이 필요합니다.
22,2026-04-27 15:14:00,거창인애노인통합지원센터,3,1,거창인애노인통합지원센터,3,5,4,1,2,4,4,4,3;6,담당자 응대가 친절하고 도움이 되었습니다.
23,2026-10-28 11:35:00,거창인애노인통합지원센터,3,3,거창인애노인통합지원센터,2,5,4,3,5,5,3,1,1;6,종사자 처우 개선이 시급합니다.
24,2026-09-10 09:26:00,사천노인통합지원센터,4,3,사천노인통합지원센터,4,1,2,1,5,1,1,5,5,현장 의견 반영이 더 필요합니다.
25,2026-05-06 10:57:00,사천노인통합지원센터,3,3,사천노인통합지원센터,2,5,1,3,3,5,5,1,2;5;6,지속적인 지원을 부탁드립니다.
26,2026-06-08 12:11:00,사천노인통합지원센터,1,2,사천노인통합지원센터,2,3,1,1,2,3,3,3,1,실무 매뉴얼 보완이 필요합니다.
27,2026-06-11 13:21:00,은빛노인통합지원센터,1,2,은빛노인통합지원센터,4,5,5,5,5,3,2,5,2,교육 주제가 다양해졌으면 합니다.
28,2026-05-10 12:25:00,은빛노인통합지원센터,2,4,은빛노인통합지원센터,2,1,5,1,3,5,5,2,2,행정 절차 간소화가 필요합니다.
29,2026-07-03 11:56:00,은빛노인통합지원센터,5,1,은빛노인통합지원센터,4,3,5,4,3,5,5,5,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
30,2026-06-16 15:12:00,미타재가복지센터,1,4,미타재가복지센터,4,3,5,3,3,2,1,1,2;5,행정 절차 간소화가 필요합니다.
31,2026-04-19 12:57:00,산청성모노인통합지원센터,4,3,산청성모노인통합지원센터,5,1,5,2,2,4,4,1,1;2;4,지속적인 지원을 부탁드립니다.
32,2026-06-24 15:08:00,산청성모노인통합지원센터,4,3,산청성모노인통합지원센터,4,3,2,5,4,3,4,1,6,현장 의견 반영이 더 필요합니다.
33,2026-09-04 16:51:00,산청성모노인통합지원센터,2,1,산청성모노인통합지원센터,1,5,5,2,5,3,3,2,1;2,담당자 응대가 친절하고 도움이 되었습니다.
34,2026-04-03 14:44:00,사랑원노인지원센터,2,3,사랑원노인지원센터,3,1,3,1,3,2,2,1,1;3;6,교육 주제가 다양해졌으면 합니다.
35,2026-03-17 16:31:00,사랑원노인지원센터,5,4,사랑원노인지원센터,2,3,4,5,2,3,3,2,1,종사자 처우 개선이 시급합니다.
36,2026-11-08 13:40:00,사랑원노인지원센터,3,1,사랑원노인지원센터,5,2,1,3,5,4,4,1,4;6,실무 매뉴얼 보완이 필요합니다.
37,2026-06-08 11:37:00,통영노인통합지원센터,5,4,통영노인통합지원센터,3,1,3,5,1,2,3,4,3;4;5,행정 절차 간소화가 필요합니다.
38,2026-11-11 17:50:00,산청복음노인통합지원센터,3,2,산청복음노인통합지원센터,5,2,3,4,4,2,4,2,6,종사자 처우 개선이 시급합니다.
39,2026-09-16 11:42:00,거창노인통합지원센터,5,2,거창노인통합지원센터,3,3,2,3,3,1,5,4,5,담당자 응대가 친절하고 도움이 되었습니다.
40,2026-05-06 14:00:00,거창노인통합지원센터,1,2,거창노인통합지원센터,3,4,2,3,4,2,5,4,5,행정 절차 간소화가 필요합니다.
41,2026-03-03 11:50:00,거제노인통합지원센터,2,2,거제노인통합지원센터,3,1,3,5,5,2,5,1,5,현장 방문 횟수가 늘어나면 좋겠습니다.
42,2026-05-27 16:02:00,의령노인통합지원센터,2,4,의령노인통합지원센터,4,1,3,3,1,5,3,4,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
43,2026-10-27 13:41:00,의령노인통합지원센터,1,1,의령노인통합지원센터,2,5,1,1,1,5,2,2,2;5,실무 매뉴얼 보완이 필요합니다.
44,2026-05-06 13:53:00,코끼리행복복지센터,4,1,코끼리행복복지센터,1,5,2,4,1,1,4,1,2;4;5,현장 의견 반영이 더 필요합니다.
45,2026-09-09 15:07:00,김해돌봄지원센터,4,1,김해돌봄지원센터,4,4,2,4,3,2,5,3,1,실무 매뉴얼 보완이 필요합니다.
46,2026-08-08 16:11:00,김해돌봄지원센터,2,3,김해돌봄지원센터,4,1,4,4,2,2,1,2,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
47,2026-07-10 10:27:00,보현행원노인통합지원센터,3,2,보현행원노인통합지원센터,2,1,4,3,3,3,1,2,2;4,온라인 교육 병행을 희망합니다.
48,2026-09-17 14:30:00,(사)대한노인회함안군지회,4,1,(사)대한노인회함안군지회,4,2,3,5,3,2,5,1,1;4,온라인 교육 병행을 희망합니다.
49,2026-08-28 14:06:00,(사)대한노인회함안군지회,5,4,(사)대한노인회함안군지회,1,1,4,5,5,5,2,2,2;6,현장 의견 반영이 더 필요합니다.
50,2026-05-10 17:14:00,(사)대한노인회함안군지회,4,3,(사)대한노인회함안군지회,3,3,1,4,2,2,3,3,2;3,종사자 처우 개선이 시급합니다.
51,2026-07-15 09:10:00,하청교회 행복늘푸른대학,3,3,하청교회 행복늘푸른대학,5,3,2,4,2,4,5,5,3,온라인 교육 병행을 희망합니다.
52,2026-05-07 17:27:00,하청교회 행복늘푸른대학,3,1,하청교회 행복늘푸른대학,1,1,5,3,2,5,3,3,3;6,담당자 응대가 친절하고 도움이 되었습니다.
53,2026-09-24 13:15:00,밀양시자원봉사단체협의회,3,1,밀양시자원봉사단체협의회,1,5,2,4,5,1,3,4,3,온라인 교육 병행을 희망합니다.
54,2026-09-24 10:18:00,김해시종합사회복지관,2,4,김해시종합사회복지관,5,5,3,3,2,4,1,4,1;4;6,지속적인 지원을 부탁드립니다.
55,2026-09-09 15:54:00,김해시종합사회복지관,4,2,김해시종합사회복지관,4,2,4,5,1,3,3,1,1;3;5,현장 의견 반영이 더 필요합니다.
56,2026-05-15 16:59:00,김해시종합사회복지관,2,1,김해시종합사회복지관,1,5,3,3,1,4,5,4,3,교육 주제가 다양해졌으면 합니다.
57,2026-09-25 15:02:00,경남노인통합지원센터,3,1,경남노인통합지원센터,2,2,4,3,4,5,5,2,1,현장 방문 횟수가 늘어나면 좋겠습니다.
58,2026-10-21 16:42:00,경남노인통합지원센터,2,1,경남노인통합지원센터,4,4,1,5,2,2,2,4,4;5,행정 절차 간소화가 필요합니다.
59,2026-03-25 17:28:00,사회적협동조합 합천종합복지공동체,5,4,사회적협동조합 합천종합복지공동체,3,2,5,3,5,1,4,4,5,현장 방문 횟수가 늘어나면 좋겠습니다.
60,2026-07-22 11:44:00,해월노인복지센터,5,4,해월노인복지센터,4,1,3,3,1,3,5,2,1,온라인 교육 병행을 희망합니다.
61,2026-07-21 17:27:00,사천건양주야간보호센터,1,4,사천건양주야간보호센터,4,1,4,4,2,2,1,1,2;5,현장 의견 반영이 더 필요합니다.
