응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,B3-1_소진회복도움,B3-2_운영방식편리,B3-3_필요프로그램,B3-4_자조모임의향,B3-5_바라는점
40,2026-10-05 16:07:00,정현사회적협동조합,4,3,정현사회적협동조합,2,1,4,5,5,1,1,4,3,현장 의견 반영이 더 필요합니다.
41,2026-06-10 12:37:00,정현사회적협동조합,5,1,정현사회적협동조합,5,4,2,5,4,4,3,5,2,교육 주제가 다양해졌으면 합니다.
42,2026-09-10 16:28:00,사회적협동조합 노인세상,1,3,사회적협동조합 노인세상,1,2,1,5,1,5,1,3,2,종사자 처우 개선이 시급합니다.
43,2026-09-01 11:34:00,성요셉소규모노인종합센터,2,4,성요셉소규모노인종합센터,2,3,3,2,1,3,1,2,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
44,2026-03-24 14:28:00,성요셉소규모노인종합센터,4,2,성요셉소규모노인종합센터,1,3,3,1,1,1,4,5,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
45,2026-06-06 13:23:00,성요셉소규모노인종합센터,2,1,성요셉소규모노인종합센터,1,5,4,5,3,1,2,2,3,종사자 처우 개선이 시급합니다.
46,2026-03-19 17:30:00,통영시종합사회복지관,2,4,통영시종합사회복지관,3,5,4,2,2,2,3,1,4,행정 절차 간소화가 필요합니다.
47,2026-05-06 13:00:00,통영시종합사회복지관,3,2,통영시종합사회복지관,2,4,1,1,5,5,1,1,2,행정 절차 간소화가 필요합니다.
48,2026-11-14 10:44:00,창녕지역자활센터,4,2,창녕지역자활센터,1,4,1,2,5,4,4,2,1,담당자 응대가 친절하고 도움이 되었습니다.
49,2026-03-02 14:49:00,창녕지역자활센터,2,4,창녕지역자활센터,4,2,1,5,3,2,4,5,1,현장 의견 반영이 더 필요합니다.
50,2026-10-16 14:01:00,진해서부노인종합복지관,1,1,진해서부노인종합복지관,4,2,2,3,5,1,1,4,2,실무 매뉴얼 보완이 필요합니다.
51,2026-10-03 12:48:00,진해서부노인종합복지관,1,4,진해서부노인종합복지관,2,2,1,1,2,5,4,5,1,종사자 처우 개선이 시급합니다.
52,2026-04-21 15:31:00,효능원노인통합지원센터,2,2,효능원노인통합지원센터,1,1,3,3,3,4,1,4,1,실무 매뉴얼 보완이 필요합니다.
53,2026-05-18 10:30:00,효능원노인통합지원센터,1,4,효능원노인통합지원센터,3,3,2,4,1,2,2,3,3,담당자 응대가 친절하고 도움이 되었습니다.
54,2026-08-05 10:41:00,밀양노인통합지원센터,4,1,밀양노인통합지원센터,2,3,2,2,5,3,1,2,1,실무 매뉴얼 보완이 필요합니다.
55,2026-07-24 16:51:00,사랑원노인지원센터,4,2,사랑원노인지원센터,4,5,1,2,2,4,3,3,1,교육 주제가 다양해졌으면 합니다.
56,2026-05-16 15:05:00,사랑원노인지원센터,4,3,사랑원노인지원센터,5,1,2,3,3,3,5,5,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
57,2026-03-05 10:06:00,함안군재가노인통합지원센터,5,1,함안군재가노인통합지원센터,3,5,5,1,2,4,5,4,3,실무 매뉴얼 보완이 필요합니다.
58,2026-11-14 13:30:00,함안군재가노인통합지원센터,5,4,함안군재가노인통합지원센터,5,4,2,2,4,4,1,1,3,행정 절차 간소화가 필요합니다.
59,2026-07-01 17:47:00,경남고용복지센터,2,4,경남고용복지센터,5,1,5,1,5,1,4,3,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
60,2026-09-10 09:03:00,경남고용복지센터,4,2,경남고용복지센터,4,5,2,2,3,2,3,5,3,종사자 처우 개선이 시급합니다.
