응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,E1-1_기기적절성,E1-2_AS교체신속,E1-3_내년필요항목,E1-4_어려운점,E1-5_바라는점
19,2026-04-04 11:45:00,산청복음노인통합지원센터,5,3,산청복음노인통합지원센터,4,4,2,5,3,1,2,1,3,지속적인 지원을 부탁드립니다.
20,2026-06-18 12:55:00,산청복음노인통합지원센터,1,4,산청복음노인통합지원센터,4,3,3,5,2,1,2,4,2,현장 방문 횟수가 늘어나면 좋겠습니다.
21,2026-07-07 14:25:00,산청복음노인통합지원센터,4,3,산청복음노인통합지원센터,3,4,1,4,5,5,1,4,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
22,2026-04-20 17:04:00,하청교회 행복늘푸른대학,4,4,하청교회 행복늘푸른대학,3,3,1,2,5,3,3,1,3,실무 매뉴얼 보완이 필요합니다.
23,2026-05-11 12:43:00,하청교회 행복늘푸른대학,1,4,하청교회 행복늘푸른대학,3,5,5,2,5,2,5,3,5,온라인 교육 병행을 희망합니다.
24,2026-07-15 16:27:00,하청교회 행복늘푸른대학,3,4,하청교회 행복늘푸른대학,3,5,1,4,1,3,3,3,5,행정 절차 간소화가 필요합니다.
25,2026-06-21 13:14:00,우리들노인통합지원센터,4,4,우리들노인통합지원센터,4,1,3,4,5,2,2,1,5,행정 절차 간소화가 필요합니다.
26,2026-03-16 15:44:00,우리들노인통합지원센터,2,3,우리들노인통합지원센터,1,3,2,3,5,4,4,1,1,현장 의견 반영이 더 필요합니다.
27,2026-04-04 14:41:00,우리들노인통합지원센터,3,4,우리들노인통합지원센터,4,2,3,5,3,2,1,3,5,온라인 교육 병행을 희망합니다.
28,2026-05-12 14:29:00,하늘마음노인통합지원센터,5,3,하늘마음노인통합지원센터,4,3,1,2,3,3,4,3,1,현장 방문 횟수가 늘어나면 좋겠습니다.
29,2026-08-21 14:29:00,함안군재가노인통합지원센터,2,3,함안군재가노인통합지원센터,2,2,2,5,3,3,3,5,1,실무 매뉴얼 보완이 필요합니다.
30,2026-08-16 13:53:00,함안군재가노인통합지원센터,4,3,함안군재가노인통합지원센터,5,1,4,4,1,2,5,3,1,교육 주제가 다양해졌으면 합니다.
31,2026-09-06 12:13:00,함안군재가노인통합지원센터,3,4,함안군재가노인통합지원센터,1,3,1,4,1,3,4,5,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
32,2026-10-22 16:46:00,생명의전화노인통합지원센터,2,3,생명의전화노인통합지원센터,1,5,3,3,5,3,1,5,2,온라인 교육 병행을 희망합니다.
33,2026-07-12 15:02:00,생명의전화노인통합지원센터,1,4,생명의전화노인통합지원센터,1,2,5,4,1,1,1,4,3,실무 매뉴얼 보완이 필요합니다.
34,2026-03-22 09:48:00,경남고용복지센터,1,4,경남고용복지센터,1,4,4,5,3,5,1,4,5,현장 방문 횟수가 늘어나면 좋겠습니다.
35,2026-05-17 14:20:00,경남고용복지센터,1,4,경남고용복지센터,2,1,3,5,2,5,5,4,4,현장 방문 횟수가 늘어나면 좋겠습니다.
36,2026-06-12 12:50:00,경남고용복지센터,4,4,경남고용복지센터,2,3,3,5,5,4,1,4,1,온라인 교육 병행을 희망합니다.
37,2026-05-18 17:13:00,밀양시자원봉사단체협의회,3,1,밀양시자원봉사단체협의회,2,2,3,1,2,5,1,1,3,교육 주제가 다양해졌으면 합니다.
38,2026-10-28 13:10:00,거제노인통합지원센터,4,3,거제노인통합지원센터,5,2,4,4,2,3,4,5,4,온라인 교육 병행을 희망합니다.
39,2026-07-17 09:12:00,산청성모노인통합지원센터,1,1,산청성모노인통합지원센터,4,2,3,4,3,5,2,4,1,종사자 처우 개선이 시급합니다.
40,2026-08-06 15:15:00,사천건양주야간보호센터,4,3,사천건양주야간보호센터,1,2,5,5,4,4,5,1,1,담당자 응대가 친절하고 도움이 되었습니다.
41,2026-05-07 11:04:00,사랑원노인지원센터,3,2,사랑원노인지원센터,3,2,4,1,1,5,4,5,5,담당자 응대가 친절하고 도움이 되었습니다.
42,2026-08-26 13:25:00,사랑원노인지원센터,3,4,사랑원노인지원센터,3,3,4,3,2,2,3,3,3,행정 절차 간소화가 필요합니다.
43,2026-04-04 17:06:00,사랑원노인지원센터,5,3,사랑원노인지원센터,1,2,4,4,2,5,1,3,2,현장 의견 반영이 더 필요합니다.
44,2026-11-27 17:06:00,의령노인통합지원센터,5,2,의령노인통합지원센터,4,4,5,3,1,5,3,4,1,행정 절차 간소화가 필요합니다.
45,2026-05-06 09:04:00,진해서부노인종합복지관,3,2,진해서부노인종합복지관,2,2,3,3,1,1,1,2,4,담당자 응대가 친절하고 도움이 되었습니다.
46,2026-11-07 15:00:00,진해서부노인종합복지관,2,1,진해서부노인종합복지관,5,4,4,3,4,4,1,5,1,현장 방문 횟수가 늘어나면 좋겠습니다.
47,2026-10-14 10:34:00,양산행복한돌봄 사회적협동조합,2,4,양산행복한돌봄 사회적협동조합,4,2,5,3,1,4,4,4,1,현장 방문 횟수가 늘어나면 좋겠습니다.
48,2026-05-04 16:09:00,양산행복한돌봄 사회적협동조합,1,3,양산행복한돌봄 사회적협동조합,5,5,5,4,5,1,3,1,5,현장 방문 횟수가 늘어나면 좋겠습니다.
49,2026-06-02 12:56:00,양산행복한돌봄 사회적협동조합,2,4,양산행복한돌봄 사회적협동조합,3,3,4,3,5,4,4,3,1,실무 매뉴얼 보완이 필요합니다.
50,2026-04-13 09:20:00,사단법인 대한노인회 함양군지회,2,1,사단법인 대한노인회 함양군지회,4,3,5,1,5,4,1,2,3,담당자 응대가 친절하고 도움이 되었습니다.
51,2026-08-27 10:45:00,사단법인 대한노인회 함양군지회,5,4,사단법인 대한노인회 함양군지회,1,1,5,1,3,5,5,1,2,현장 방문 횟수가 늘어나면 좋겠습니다.
52,2026-11-05 15:29:00,사단법인 대한노인회 함양군지회,1,4,사단법인 대한노인회 함양군지회,3,2,1,3,2,1,5,2,4,담당자 응대가 친절하고 도움이 되었습니다.
53,2026-05-13 09:08:00,남양양로원,2,1,남양양로원,4,5,1,5,5,4,3,3,5,현장 의견 반영이 더 필요합니다.
54,2026-05-28 12:12:00,남양양로원,3,2,남양양로원,5,3,2,5,1,1,4,3,4,교육 주제가 다양해졌으면 합니다.
55,2026-04-16 13:21:00,하동노인통합지원센터,3,4,하동노인통합지원센터,5,2,3,1,1,2,1,3,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
56,2026-05-18 12:12:00,하동노인통합지원센터,1,3,하동노인통합지원센터,3,5,5,4,5,5,1,2,3,실무 매뉴얼 보완이 필요합니다.
57,2026-04-16 16:05:00,마산회원노인종합복지관,4,1,마산회원노인종합복지관,2,1,3,4,5,4,1,5,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
58,2026-05-09 15:00:00,마산회원노인종합복지관,3,1,마산회원노인종합복지관,4,3,5,2,5,5,3,2,2,온라인 교육 병행을 희망합니다.
59,2026-11-09 10:48:00,동진노인통합지원센터,5,4,동진노인통합지원센터,4,4,4,4,1,1,4,3,2,행정 절차 간소화가 필요합니다.
60,2026-08-21 16:43:00,동진노인통합지원센터,2,1,동진노인통합지원센터,4,2,1,2,2,2,3,5,4,온라인 교육 병행을 희망합니다.
61,2026-10-09 14:07:00,거창인애노인통합지원센터,1,3,거창인애노인통합지원센터,5,3,5,1,5,3,4,2,1,종사자 처우 개선이 시급합니다.
62,2026-04-12 15:01:00,거창인애노인통합지원센터,3,3,거창인애노인통합지원센터,2,4,1,4,5,5,3,5,3,온라인 교육 병행을 희망합니다.
63,2026-04-04 10:03:00,사천노인통합지원센터,4,4,사천노인통합지원센터,4,3,4,3,3,3,4,3,4,담당자 응대가 친절하고 도움이 되었습니다.
64,2026-11-19 16:09:00,사천노인통합지원센터,2,4,사천노인통합지원센터,5,2,3,5,3,3,1,2,5,현장 의견 반영이 더 필요합니다.
65,2026-11-09 15:33:00,진주노인통합지원센터,3,4,진주노인통합지원센터,1,4,4,5,5,2,4,1,2,종사자 처우 개선이 시급합니다.
66,2026-05-14 17:30:00,진주노인통합지원센터,1,4,진주노인통합지원센터,4,4,4,5,3,4,1,2,5,실무 매뉴얼 보완이 필요합니다.
67,2026-09-05 15:14:00,진주노인통합지원센터,4,4,진주노인통합지원센터,5,2,4,1,1,1,4,2,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
