응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,A1_점검항목반영,A2_결과통보명확,A3_개선지원충분,A4_내년강화항목,A5_바라는점
25,2026-03-11 12:42:00,창원도우누리노인통합재가센터,1,3,창원도우누리노인통합재가센터,2,1,3,5,5,5,1,5,3,실무 매뉴얼 보완이 필요합니다.
26,2026-09-26 17:31:00,대한노인회 고성군지회(노인맞춤돌봄서비스),2,1,대한노인회 고성군지회(노인맞춤돌봄서비스),2,4,5,4,1,4,4,5,5,행정 절차 간소화가 필요합니다.
27,2026-04-14 15:06:00,대한노인회 고성군지회(노인맞춤돌봄서비스),2,2,대한노인회 고성군지회(노인맞춤돌봄서비스),4,3,1,4,4,5,3,2,2,담당자 응대가 친절하고 도움이 되었습니다.
28,2026-09-06 12:47:00,생명의전화노인통합지원센터,5,3,생명의전화노인통합지원센터,5,5,1,5,4,1,1,3,2,현장 방문 횟수가 늘어나면 좋겠습니다.
29,2026-05-01 12:29:00,생명의전화노인통합지원센터,1,4,생명의전화노인통합지원센터,5,2,1,1,4,1,2,1,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
30,2026-04-08 14:43:00,양산행복한돌봄 사회적협동조합,5,4,양산행복한돌봄 사회적협동조합,2,1,1,4,1,5,5,5,3,종사자 처우 개선이 시급합니다.
31,2026-03-27 10:34:00,양산행복한돌봄 사회적협동조합,4,3,양산행복한돌봄 사회적협동조합,3,5,2,2,1,4,3,5,5,교육 주제가 다양해졌으면 합니다.
32,2026-10-17 14:28:00,양산행복한돌봄 사회적협동조합,1,2,양산행복한돌봄 사회적협동조합,1,1,3,5,1,4,4,3,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
33,2026-06-13 10:19:00,동진노인통합지원센터,5,4,동진노인통합지원센터,1,1,2,5,4,5,3,2,5,현장 방문 횟수가 늘어나면 좋겠습니다.
34,2026-11-05 16:46:00,창녕군새누리노인종합센터,4,4,창녕군새누리노인종합센터,1,3,1,5,3,2,1,3,1,실무 매뉴얼 보완이 필요합니다.
35,2026-09-04 14:27:00,창녕군새누리노인종합센터,1,4,창녕군새누리노인종합센터,5,2,2,4,3,5,5,2,3,현장 방문 횟수가 늘어나면 좋겠습니다.
36,2026-08-04 16:37:00,창녕군새누리노인종합센터,4,2,창녕군새누리노인종합센터,3,1,5,4,3,5,4,4,5,교육 주제가 다양해졌으면 합니다.
37,2026-07-20 15:01:00,경남노인통합지원센터,3,4,경남노인통합지원센터,5,3,2,1,4,1,2,5,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
38,2026-09-05 11:59:00,경남노인통합지원센터,3,2,경남노인통합지원센터,4,3,5,5,2,1,5,5,2,행정 절차 간소화가 필요합니다.
39,2026-11-13 17:44:00,경남노인통합지원센터,5,2,경남노인통합지원센터,5,1,4,2,3,4,4,2,5,온라인 교육 병행을 희망합니다.
40,2026-04-14 09:39:00,거제노인통합지원센터,1,1,거제노인통합지원센터,3,1,2,1,5,2,3,5,2,교육 주제가 다양해졌으면 합니다.
41,2026-09-04 12:13:00,거제노인통합지원센터,4,4,거제노인통합지원센터,1,3,2,2,1,3,3,5,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
42,2026-09-11 09:58:00,거제노인통합지원센터,2,3,거제노인통합지원센터,3,3,4,2,3,1,5,1,4,지속적인 지원을 부탁드립니다.
43,2026-03-28 12:44:00,정현사회적협동조합,3,3,정현사회적협동조합,1,5,4,4,1,4,4,1,5,담당자 응대가 친절하고 도움이 되었습니다.
44,2026-07-20 17:36:00,정현사회적협동조합,5,1,정현사회적협동조합,5,5,1,4,4,5,2,1,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
45,2026-10-09 15:33:00,정현사회적협동조합,1,2,정현사회적협동조합,3,5,2,4,4,3,5,4,5,종사자 처우 개선이 시급합니다.
46,2026-06-23 15:44:00,마산회원노인종합복지관,5,4,마산회원노인종합복지관,3,5,4,5,3,1,3,3,5,행정 절차 간소화가 필요합니다.
47,2026-08-26 09:07:00,마산회원노인종합복지관,1,2,마산회원노인종합복지관,5,2,1,4,3,2,4,1,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
48,2026-04-16 10:27:00,마산회원노인종합복지관,1,2,마산회원노인종합복지관,5,5,5,4,2,4,3,2,4,담당자 응대가 친절하고 도움이 되었습니다.
49,2026-11-19 13:20:00,명진노인통합지원센터,3,1,명진노인통합지원센터,4,4,1,1,1,5,5,3,2,행정 절차 간소화가 필요합니다.
50,2026-07-06 09:18:00,진해노인종합복지관,4,4,진해노인종합복지관,3,5,5,4,4,4,4,1,3,현장 방문 횟수가 늘어나면 좋겠습니다.
51,2026-07-06 09:52:00,진해노인종합복지관,3,3,진해노인종합복지관,4,3,4,4,3,5,1,5,4,행정 절차 간소화가 필요합니다.
52,2026-08-08 12:50:00,진해노인종합복지관,5,1,진해노인종합복지관,4,2,2,3,3,4,4,2,2,현장 방문 횟수가 늘어나면 좋겠습니다.
53,2026-07-02 10:25:00,거창노인통합지원센터,3,3,거창노인통합지원센터,2,1,1,4,2,2,1,2,2,행정 절차 간소화가 필요합니다.
54,2026-05-25 16:27:00,거창노인통합지원센터,4,4,거창노인통합지원센터,3,4,2,3,5,1,4,1,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
55,2026-07-23 10:05:00,코끼리행복복지센터,3,3,코끼리행복복지센터,5,5,4,1,1,5,1,1,4,실무 매뉴얼 보완이 필요합니다.
56,2026-09-16 16:35:00,은빛노인통합지원센터,2,2,은빛노인통합지원센터,1,2,5,5,3,4,1,3,4,담당자 응대가 친절하고 도움이 되었습니다.
57,2026-09-26 13:54:00,은빛노인통합지원센터,2,4,은빛노인통합지원센터,1,2,1,2,1,2,5,3,2,온라인 교육 병행을 희망합니다.
58,2026-08-08 15:22:00,은빛노인통합지원센터,5,4,은빛노인통합지원센터,5,1,4,5,3,2,3,3,5,담당자 응대가 친절하고 도움이 되었습니다.
59,2026-05-04 17:44:00,진주노인통합지원센터,2,3,진주노인통합지원센터,3,3,3,1,1,4,3,3,3,행정 절차 간소화가 필요합니다.
60,2026-10-11 11:55:00,진주노인통합지원센터,2,1,진주노인통합지원센터,1,2,2,2,4,3,5,5,4,실무 매뉴얼 보완이 필요합니다.
61,2026-04-15 16:57:00,진해서부노인종합복지관,4,2,진해서부노인종합복지관,2,3,2,4,2,1,2,5,5,현장 방문 횟수가 늘어나면 좋겠습니다.
62,2026-05-27 10:57:00,진해서부노인종합복지관,4,3,진해서부노인종합복지관,1,5,1,1,5,4,2,1,3,지속적인 지원을 부탁드립니다.
63,2026-06-02 15:38:00,진해서부노인종합복지관,2,3,진해서부노인종합복지관,5,5,2,3,5,2,3,2,3,현장 의견 반영이 더 필요합니다.
64,2026-04-17 10:45:00,하동노인통합지원센터,4,4,하동노인통합지원센터,4,5,3,5,1,4,3,2,3,행정 절차 간소화가 필요합니다.
65,2026-08-09 13:27:00,사랑원노인지원센터,1,2,사랑원노인지원센터,5,3,1,4,5,5,2,4,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
66,2026-03-21 14:15:00,사랑원노인지원센터,5,1,사랑원노인지원센터,2,5,4,5,5,3,5,4,5,실무 매뉴얼 보완이 필요합니다.
67,2026-09-19 17:32:00,사회적협동조합 합천종합복지공동체,2,1,사회적협동조합 합천종합복지공동체,3,3,4,5,2,4,1,3,4,담당자 응대가 친절하고 도움이 되었습니다.
68,2026-07-13 12:02:00,사회적협동조합 합천종합복지공동체,1,4,사회적협동조합 합천종합복지공동체,3,2,3,2,2,5,2,5,4,담당자 응대가 친절하고 도움이 되었습니다.
69,2026-11-08 12:36:00,사회적협동조합 합천종합복지공동체,1,2,사회적협동조합 합천종합복지공동체,1,5,4,1,4,2,5,2,2,종사자 처우 개선이 시급합니다.
70,2026-03-23 17:59:00,산청복음노인통합지원센터,2,2,산청복음노인통합지원센터,2,1,1,1,1,2,2,2,1,현장 의견 반영이 더 필요합니다.
71,2026-04-23 17:24:00,산청복음노인통합지원센터,4,4,산청복음노인통합지원센터,4,1,1,1,5,5,5,4,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
72,2026-03-18 10:52:00,산청복음노인통합지원센터,3,2,산청복음노인통합지원센터,3,4,1,3,1,2,5,3,3,교육 주제가 다양해졌으면 합니다.
73,2026-04-19 17:48:00,통영시종합사회복지관,1,4,통영시종합사회복지관,3,4,5,2,2,3,3,4,5,지속적인 지원을 부탁드립니다.
74,2026-04-02 09:12:00,통영시종합사회복지관,1,4,통영시종합사회복지관,4,2,1,3,3,3,5,4,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
75,2026-08-01 09:27:00,통영시종합사회복지관,4,4,통영시종합사회복지관,4,3,1,1,1,4,3,3,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
76,2026-06-10 09:51:00,함안군재가노인통합지원센터,4,3,함안군재가노인통합지원센터,1,4,5,5,3,5,4,1,5,실무 매뉴얼 보완이 필요합니다.
77,2026-03-12 17:48:00,함안군재가노인통합지원센터,2,4,함안군재가노인통합지원센터,4,5,2,3,5,2,4,5,5,실무 매뉴얼 보완이 필요합니다.
78,2026-09-06 15:38:00,함안군재가노인통합지원센터,4,1,함안군재가노인통합지원센터,5,2,5,4,5,5,5,5,1,온라인 교육 병행을 희망합니다.
79,2026-10-26 10:23:00,경남고용복지센터,1,3,경남고용복지센터,5,4,2,3,4,1,5,4,4,현장 의견 반영이 더 필요합니다.
80,2026-06-05 09:05:00,경남고용복지센터,2,4,경남고용복지센터,3,4,5,5,5,2,4,1,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
81,2026-11-28 09:48:00,경남고용복지센터,5,3,경남고용복지센터,2,1,4,3,3,5,3,1,4,온라인 교육 병행을 희망합니다.
82,2026-07-23 10:42:00,해월노인복지센터,2,4,해월노인복지센터,3,4,5,2,1,1,5,5,2,행정 절차 간소화가 필요합니다.
83,2026-04-20 15:08:00,해월노인복지센터,4,3,해월노인복지센터,2,2,2,5,4,3,5,5,1,온라인 교육 병행을 희망합니다.
84,2026-07-24 14:17:00,산청한일노인통합지원센터,2,1,산청한일노인통합지원센터,5,3,3,3,4,1,3,4,5,담당자 응대가 친절하고 도움이 되었습니다.
85,2026-05-05 14:31:00,의령노인통합지원센터,1,1,의령노인통합지원센터,1,1,4,2,3,4,3,1,4,담당자 응대가 친절하고 도움이 되었습니다.
86,2026-05-09 16:11:00,나누리노인통합지원센터,5,2,나누리노인통합지원센터,5,5,3,3,1,1,1,4,5,종사자 처우 개선이 시급합니다.
87,2026-05-23 13:45:00,밀양노인통합지원센터,4,2,밀양노인통합지원센터,1,2,4,1,4,5,3,1,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
88,2026-08-18 09:05:00,미타재가복지센터,1,3,미타재가복지센터,1,5,2,4,1,1,3,2,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
89,2026-03-24 14:14:00,성요셉소규모노인종합센터,4,1,성요셉소규모노인종합센터,5,2,2,1,1,4,1,4,5,지속적인 지원을 부탁드립니다.
90,2026-03-01 16:16:00,성요셉소규모노인종합센터,1,3,성요셉소규모노인종합센터,5,3,3,2,2,5,5,4,4,실무 매뉴얼 보완이 필요합니다.
91,2026-11-19 12:55:00,성요셉소규모노인종합센터,4,3,성요셉소규모노인종합센터,2,5,3,3,4,1,4,1,5,종사자 처우 개선이 시급합니다.
92,2026-10-07 13:51:00,하청교회 행복늘푸른대학,5,1,하청교회 행복늘푸른대학,2,1,1,3,3,1,2,3,5,실무 매뉴얼 보완이 필요합니다.
